season_simulated,final_bankroll,profit_loss,roi_percent,league
2023/2024,100.65638859202518,0.6563885920251806,0.1018451026021782,
2024/2025,18.18510857844444,-81.81489142155556,-16.071820335442162,
2024/2025,57.89372325181076,-42.10627674818924,-20.53075725932576,La Liga
2024/2025,83.27387774213858,-16.72612225786142,-29.64890978108417,Premier League
2024/2025,49.23228966830117,-50.76771033169883,-37.72152456822656,Ligue 1
2024/2025,76.51880518131117,-23.481194818688834,-10.141518228837349,Serie A
2024/2025,99.51636163077903,-0.48363836922096937,-8.203324880743553,Bundesliga
